X,Y,Layer,PaperSpace,SubClasses,Linetype,EntityHandle,Text
65.8988,123.896000026168,Layer 1,,,,,
65.7577,124.037,Layer 1,,,,,
65.6166,124.178000026168,Layer 1,,,,,
65.4755,124.319,Layer 1,,,,,
65.3344,124.460000026168,Layer 1,,,,,
65.1933,124.601,Layer 1,,,,,
65.0522,124.742000026168,Layer 1,,,,,
64.9111,125.0245,Layer 1,,,,,
64.76995,125.307000026168,Layer 1,,,,,
64.6288,125.448,Layer 1,,,,,
64.4877,125.589000026168,Layer 1,,,,,
64.3466,125.8715,Layer 1,,,,,
64.2055,126.154000026168,Layer 1,,,,,
64.0644,126.295,Layer 1,,,,,
63.9233,126.436000026168,Layer 1,,,,,
63.7822,126.718,Layer 1,,,,,
63.64105,127.000000026168,Layer 1,,,,,
63.4999,127.141,Layer 1,,,,,
63.3588,127.282000026168,Layer 1,,,,,
63.2177,127.5645,Layer 1,,,,,
62.9355,127.847000026168,Layer 1,,,,,
62.6533,128.2705,Layer 1,,,,,
62.7944,128.694000026168,Layer 1,,,,,
62.9355,129.6815,Layer 1,,,,,
62.7944,130.669000026168,Layer 1,,,,,
62.6533,131.0925,Layer 1,,,,,
62.5122,131.516000026168,Layer 1,,,,,
62.3711,131.657,Layer 1,,,,,
62.08885,131.798000026168,Layer 1,,,,,
61.8066,131.657,Layer 1,,,,,
61.6655,131.516000026168,Layer 1,,,,,
61.5244,130.105,Layer 1,,,,,
61.3833,128.694000026168,Layer 1,,,,,
61.2422,128.5525,Layer 1,,,,,
61.1011,128.411000026168,Layer 1,,,,,
60.96,128.5525,Layer 1,,,,,
60.67775,128.694000026168,Layer 1,,,,,
60.3955,128.835,Layer 1,,,,,
60.1133,128.976000026168,Layer 1,,,,,
59.8311,129.399,Layer 1,,,,,
59.9722,129.822000026168,Layer 1,,,,,
60.1133,131.092,Layer 1,,,,,
60.2544,132.362000026168,Layer 1,,,,,
60.3955,133.632,Layer 1,,,,,
60.5366,134.902000026168,Layer 1,,,,,
60.6777,136.031,Layer 1,,,,,
60.81885,137.160000026168,Layer 1,,,,,
60.96,138.007,Layer 1,,,,,
61.1011,138.854000026168,Layer 1,,,,,
61.2422,139.7005,Layer 1,,,,,
61.3833,140.547000026168,Layer 1,,,,,
61.5244,141.1115,Layer 1,,,,,
61.6655,141.676000026168,Layer 1,,,,,
61.8066,142.099,Layer 1,,,,,
61.9477,142.522000026168,Layer 1,,,,,
62.0888,143.0865,Layer 1,,,,,
